@relation SomeContent

@attribute A13 {p,g,s}
@attribute A4 {t,y,l,u}
@attribute A15 numeric
@attribute A12 {f,t}
@attribute A7 {dd,v,ff,h,z,j,o,bb,n}
@attribute A3 numeric
@attribute A16 {+,-}
@attribute A2 numeric
@attribute A6 {ff,e,m,q,d,aa,i,w,k,x,cc,j,r,c}
@attribute A1 {a,b}
@attribute A14 numeric
@attribute A8 numeric
@attribute A11 numeric
@attribute A9 {f,t}
@attribute A5 {g,p,gg}
@attribute A10 {t,f}

@data
g,u,99,f,v,5,+,60.92,aa,a,0,4,4,t,g,t
p,?,0,f,?,0,+,71.58,?,a,?,0,0,f,?,f
g,u,5800,t,v,2.04,+,37.42,w,b,400,0.04,0,t,g,f
g,y,400,t,v,0.79,+,23.42,q,a,80,1.5,2,t,p,t
s,u,0,t,v,1,-,23.42,c,b,280,0.5,0,f,g,f
g,y,0,t,h,1.75,+,32,e,b,393,0.04,0,t,p,f
g,u,31285,t,h,1.04,+,33.17,r,b,164,6.5,0,t,g,f
g,u,0,f,v,11.5,-,22.75,i,b,0,0.415,0,f,g,f
g,y,13212,f,z,15,+,28.08,e,a,0,0,0,t,p,f
g,u,1000,t,h,5.5,+,32.67,q,b,408,5.5,12,t,g,t
s,l,0,t,ff,0.375,+,18.08,cc,a,300,10,0,f,gg,f
g,u,1000,t,h,5,+,34.92,x,b,0,7.5,6,t,g,t
s,u,0,f,bb,3.5,-,40.83,i,?,1160,0.5,0,f,g,f
g,y,1210,f,bb,4.5,-,26.75,c,b,200,2.5,0,f,p,f
g,u,0,f,h,8.5,+,57.42,e,b,0,7,3,t,g,t
g,u,0,t,v,1,+,26,q,b,280,1.75,0,t,g,f
g,u,501,t,v,2.665,-,37.33,cc,b,0,0.165,0,f,g,f
s,u,0,t,v,0,-,21.17,c,b,0,0.5,0,f,g,f
g,u,200,f,h,1.835,+,29.92,c,b,260,4.335,0,t,g,f
g,y,0,f,ff,0,-,17.67,j,a,86,0,0,f,p,f
g,u,41,t,v,3.085,-,31.08,c,b,160,2.5,2,f,g,t
g,u,0,f,v,1.25,-,33.67,w,b,120,1.165,0,f,g,f
g,u,7,f,v,5.125,+,28.25,x,b,420,4.75,2,t,g,t
g,y,1,t,?,1.75,-,42.25,?,?,150,0,0,f,p,f
s,u,0,t,bb,0.5,-,?,c,b,320,0.835,0,t,g,f
g,u,160,t,v,7.625,-,15.83,q,a,0,0.125,1,f,g,t
g,u,150,f,v,5.835,-,47.17,w,b,465,5.5,0,f,g,f
g,u,0,f,h,13,-,29.25,d,b,228,0.5,0,f,g,f
g,u,1200,f,v,6.5,+,30.17,cc,b,330,3.125,8,t,g,t
g,u,0,t,v,2.5,-,32.92,aa,b,720,1.75,2,f,g,t
g,u,5,f,v,0.835,-,37.5,e,b,120,0.04,0,f,g,f
g,u,1,f,h,10,-,17.58,w,b,120,0.165,1,f,g,t
g,u,1097,t,v,6,+,39.08,m,b,108,1.29,5,t,g,t
g,u,0,f,v,15.5,-,31.42,c,b,120,0.5,0,t,g,f
s,u,0,f,v,1.5,-,27.67,m,a,368,2,0,t,g,f
g,u,3552,f,v,18.125,-,36.17,w,b,320,0.085,0,f,g,f
g,y,162,t,v,0.375,+,43.08,c,b,300,0.375,8,t,p,t
g,y,184,f,v,5.085,-,20.75,j,b,140,0.29,0,f,p,f
s,u,0,f,v,1.165,-,28.75,k,b,280,0.5,0,t,g,f
g,u,827,f,h,1.665,+,27.25,cc,b,399,5.085,9,t,g,t
g,u,55,t,v,0.46,-,22.25,k,b,280,0.125,0,f,g,f
g,y,0,f,v,0.79,-,21.58,cc,b,160,0.665,0,f,p,f
g,u,14,f,v,25.085,+,48.25,w,b,120,1.75,3,t,g,t
g,y,0,t,v,3.165,+,33.17,x,b,380,3.165,3,t,p,t
g,y,0,f,v,16.5,-,35.25,c,b,80,4,0,t,p,f
g,u,0,t,v,4.25,+,26.67,cc,b,120,4.29,1,t,g,t
g,y,0,f,v,1.585,+,22.67,w,b,80,3.085,6,t,p,t
g,u,0,t,v,3.5,-,29.17,w,b,329,3.5,3,t,g,t
g,u,50,f,ff,10.21,-,17.92,ff,a,0,0,0,f,g,f
g,u,0,f,v,1.75,-,41.58,k,b,160,0.21,0,t,g,f
s,y,0,t,h,2.5,-,39.17,i,b,200,10,0,f,p,f
s,u,0,f,v,3.5,+,48.17,aa,b,230,3.5,0,t,g,f
g,y,0,f,v,1.75,-,24.5,c,a,132,0.165,0,f,p,f
g,u,1332,t,v,7.04,+,57.83,m,b,360,14,6,t,g,t
g,y,0,t,v,4.415,+,36.67,k,b,320,0.25,10,t,p,t
g,u,567,t,v,12.5,+,24.75,aa,a,120,1.5,12,t,g,t
g,y,0,f,v,0.335,-,33.58,cc,b,180,0.085,0,f,p,f
g,u,283,f,v,0.79,-,22,w,b,420,0.29,1,f,g,t
g,u,120,f,o,1.335,-,48.17,i,a,0,0.335,0,f,g,f
g,u,560,f,h,4.46,+,58.67,q,a,43,3.04,6,t,g,t
g,u,610,f,bb,4.25,+,34.42,i,b,274,3.25,2,t,g,t
g,u,1004,f,v,0.585,-,28.17,aa,?,260,0.04,0,f,g,f
g,u,687,f,bb,5.5,-,36.17,i,b,210,5,0,f,g,f
g,y,1,f,ff,14,-,32.25,ff,b,160,0,2,f,p,t
g,u,800,f,v,3,+,22.83,m,b,260,1.29,1,t,g,t
g,u,3,t,v,1.54,+,27.83,w,b,100,3.75,5,t,g,t
g,u,0,t,h,4.085,-,16.33,i,b,120,0.415,0,f,g,f
g,u,0,f,v,0.04,+,16.17,c,b,0,0.04,0,f,g,f
g,u,0,t,v,0.54,-,63.33,c,b,180,0.585,3,t,g,t
g,u,284,t,h,6.75,+,54.33,c,b,0,2.625,11,t,g,t
g,u,0,f,h,9.79,+,42,x,b,0,7.96,8,t,g,t
s,u,0,t,v,12.5,+,25,aa,b,20,3,0,t,g,f
g,u,11,t,v,0.83,-,23.58,q,a,200,0.415,1,f,g,t
g,u,0,f,ff,4.71,-,36.75,ff,a,160,0,0,f,g,f
g,y,1,f,ff,0,-,19,ff,b,45,0,4,f,p,t
g,u,0,f,h,2.875,+,25.17,x,a,360,0.875,0,t,g,f
g,u,108,t,h,0.29,-,27.25,m,a,272,0.125,1,f,g,t
s,u,0,f,v,0.335,-,22.67,q,a,160,0.75,0,f,g,f
s,y,1,t,bb,0,+,19.17,m,b,500,0,0,f,p,f
g,u,456,f,v,1,+,36,c,a,0,2,11,t,g,t
g,u,28,t,v,9.25,+,20.17,c,b,40,1.665,3,t,g,t
g,u,300,t,bb,1,+,41.33,i,a,0,2.25,0,t,g,f
g,u,1,f,ff,5,-,39.58,ff,b,17,0,2,f,g,t
g,u,500,t,h,25.125,+,35.17,x,b,515,1.625,1,t,g,t
g,u,6,f,v,3.125,-,16,w,b,0,0.085,1,f,g,t
g,u,1000,f,v,6.165,-,22.75,aa,a,220,0.165,0,f,g,f
g,u,0,t,v,5,+,28.33,w,b,70,11,0,t,g,f
g,y,6,t,v,1.75,-,19,c,b,112,2.335,0,f,p,f
g,u,3257,f,v,5.665,+,22.42,q,a,129,2.585,7,t,g,t
g,u,750,f,v,0.205,-,17.92,aa,b,280,0.04,0,f,g,f
g,u,5000,t,bb,7.585,+,49.5,i,b,0,7.585,15,t,g,t
g,u,109,t,z,22.29,+,76.75,e,b,0,12.75,1,t,g,t
g,u,0,t,h,3.165,-,35.25,x,b,680,3.75,0,t,g,f
g,y,1,t,h,3.25,-,27.58,q,b,369,5.085,2,f,p,t
